topic_number;sub_number;sub_type;subtopic
253;1;inf;What treatments are available for a tooth abscess?
253;2;inf;What are the dangers/complications of leaving a tooth abscess untreated?
253;3;inf;What are the concerns with extracting an abscessed tooth?
253;4;inf;Which antibiotics are used to treat a tooth abscess.
254;1;inf;Find the causes and risk factors of Barrett's Esophagus.
254;2;inf;What treatments are available for Barrett's Esophagus?
254;3;inf;What is the recommended diet for Barrett's Esophagus?
254;4;inf;Is there a link between Barrett's Esophagus and cancer?
254;5;inf;Find symptoms of Barrett's Esophagus.
254;6;inf;Find pictures of Barrett's Esophagus.
254;7;inf;Find Barret's Esophagus studies performed at the Mayo Clinic.
255;1;inf;Find information about teddy bear picnics.
255;2;inf;Show me teddy bears made by Gund.
255;3;inf;Find giant teddy bears.
255;4;inf;Locate information about teddy bears by Steiff.
255;5;inf;Where can I buy teddy bears wholesale?
257;1;inf;"Find summaries of ""Holes"" by Louis Sachar."
257;2;inf;"Find lesson plans or classroom activities related to ""Holes"" by Louis Sachar."
257;3;inf;"Find reviews of the movie ""Holes""."
257;4;inf;"Who are the characters in the book ""Holes"" by Louis Sachar?"
258;1;inf;Find pictures of a hip roof.
258;2;inf;Find information on hip roof trusses.
258;3;inf;I'm looking for engineering drawings of a hip roof.
258;4;inf;What are the advantages and disadvantages of a hip roof over other roof types?
259;1;inf;How do you identify carpenter bees and how are they different from other bees?
259;2;inf;How and where do carpenter bees make their nests?
259;3;inf;How does one get rid of carpenter bees?
259;4;inf;What damage can a carpenter bee do to a home or structure?
259;5;inf;Find a picture of a carpenter bee.
259;6;inf;Do carpenter bees sting?
260;1;nav;Find a list of the major battles of the American Revolution.
260;2;nav;Find a time line of the American Revolution.
260;3;inf;Find images of the American Revolution.
260;4;inf;What were the causes of the American revolutionary war?
260;5;inf;What is the history of the American revolutionary war?
265;1;inf;What were the ten worst tornadoes in the USA?
265;2;inf;Where is tornado alley?
265;3;inf;What damage can an F5 tornado do?
265;4;inf;Find information on tornado shelters.
265;5;nav;What wind speed defines an F5 tornado?
269;1;inf;Find information about Marshall County Schools in West Virginia.
269;2;nav;Find the Marshall County Schools in Kentucky school calendar
270;1;inf;Find quotes from Sun Tzu.
270;2;inf;"Find commentary on Sun Tzu's ""The Art of War""."
270;3;inf;"How does Sun Tzu's ""The Art of War"" apply to business?"
270;4;inf;Find comparisons of Sun Tzu and Machiavelli.
270;5;inf;What are examples of the philosophy of Sun Tzu?
272;1;inf;Find data on how to generally interpret dreams.
272;2;inf;What do dreams about flying mean?
272;3;inf;What do dreams about water mean?
272;4;inf;What do dreams about teeth mean?
272;5;inf;What do dreams about spiders mean?
272;6;inf;What do dreams about being chased mean?
272;7;inf;What do dreams about death mean?
273;1;nav;Find Wilson (Wilson's) Disease Association web site.
273;2;inf;What are the symptoms of Wilson's disease?
273;3;inf;What is the relationship between Wilson's disease and zinc?
273;4;inf;What diet should a person with Wilson's disease follow?
273;5;inf;Find pictures of the Kayser-Fleischer ring that is a sign of Wilson's disease.
273;6;inf;Is there a genetic basis to Wilson's disease?
274;1;inf;Find information about golf schools.
274;2;inf;Find vacation packages that include golf instruction.
274;3;inf;What golf instructional videos (DVDs) are available?
274;4;inf;Find online instructions/tips for putting.
274;5;inf;Find lessons on the basics of setup and grip for golf.
275;1;inf;Find details regarding the casualties of the USS Cole bombing
275;2;inf;Get details on the bombing of the USS Cole.
275;3;inf;What were the results of the investigation of the USS Cole bombing?
275;4;inf;Find the names of the victims of the USS Cole bombing.
275;5;inf;What methods were used for the recovery of the USS Cole?
277;1;inf;"What are the names of the cast members of the television show ""Bewitched""?"
277;2;inf;"What are the names of the cast members of the movie ""Bewitched""?"
278;1;nav;"What are the lyrics to the theme song for ""Mister Rogers' Neighborhood""?"
278;2;inf;Find biographical information for Fred Rogers.
278;3;inf;What characters inhabited Mister Rogers' Neighborhood?
278;4;inf;Find quotes from Mister Rogers.
278;5;inf;Find Mister Rogers videos.
278;6;inf;"What songs were sung on ""Mister Rogers' Neighborhood""?"
278;7;inf;Find information about Mister Rogers' Purple Panda.
279;1;inf;Find books on game theory.
279;2;inf;How did John Nash contribute to game theory?
279;3;inf;What's the timeline for the evolution of game theory?
279;4;inf;How is game theory defined?
279;5;inf;Find seminars, symposia, workshops, and/or courses on game theory.
279;6;inf;What are examples of problems game theory can be used to solve?
281;1;inf;What is a ketogenic diet?
281;2;inf;Find recipes for a ketogenic diet
281;3;inf;What are the side effects of a ketogenic diet?
281;4;inf;How does a ketogenic diet help with epilepsy?
281;5;inf;How does a ketogenic diet help with weight loss?
281;6;inf;Find a ketogenic diet food list.
285;1;inf;Which foods are rich in magnesium?
285;2;inf;What are the symptoms of a magnesium deficiency?
285;3;inf;What are the effects of too much magnesium?
288;1;inf;Find quotes from Fidel Castro.
288;2;inf;Find biographical information about Fidel Castro.
288;3;inf;What is the relationship between Ozzie Guillen and Fidel Castro?
288;4;inf;Find information on the health of Fidel Castro.
288;5;inf;Who are Fidel Castro's family members?
289;1;inf;What are the benefits of yoga for kids?
289;2;inf;Find information on yoga for seniors.
289;3;inf;Does yoga help with weight loss?
289;4;inf;What are the benefits of various yoga poses?
289;5;inf;What are the benefits of yoga during pregnancy?
289;6;inf;How does yoga benefit runners?
289;7;inf;Find the benefits of yoga nidra.
290;1;inf;How do you identify a Norway Spruce?
290;2;inf;What are the diseases of the Norway Spruce?
290;3;inf;Find information on planting and growing Norway Spruce trees.
290;4;inf;Find pictures of Norway Spruce trees.
291;1;inf;What are some cities/destinations within the Sangre de Cristo mountains region?
291;2;inf;What are recreational activities available within the Sangre de Cristo mountains region?
291;3;inf;Find photos of the Sangre de Cristo mountains.
291;4;inf;What are the skiing possibilities in the Sangre de Cristo mountains?
291;5;inf;Is there a pass within the Sangre de Cristo mountain range?
291;6;inf;Find ranches for sale in the Sangre de Cristo mountains area.
291;7;inf;What hiking is available in the Sangre de Cristo mountains?
294;1;inf;What are the names of some flowering plants?
294;2;inf;What is the definition of a flowering plant?
294;3;inf;Which flowering plants do well in the shade?
294;4;inf;When did flowering plants first appear?
294;5;inf;Find pictures of flowering plants.
297;1;inf;How can one prevent altitude sickness?
297;2;inf;What is altitude sickness?
297;3;inf;What are the treatments for altitude sickness?
297;4;inf;In which cities is high altitude sickness more likely to occur?
299;1;inf;What is pink slime?
299;2;inf;Who sells ground beef with pink slime in it?
299;3;inf;What restaurants use pink slime?
299;4;inf;Find pictures of pink slime.
299;5;inf;What is ammonia used for in pink slime?
299;6;inf;Is pink slime used in school lunches?
